timestamp,user,item
1672752525.0,0,246
1672008250.0,3,1995
1673351861.0,0,231
1671609059.0,0,1647
1672840355.0,2,83
1673717070.0,2,726
1673610788.0,0,1968
1673984716.0,2,1600
1672585584.0,0,1277
1671137933.0,2,344
1671136586.0,2,10
1673899526.0,2,1157
1669918252.0,1,1269
1671291376.0,1,974
1671465461.0,3,757
1670882626.0,1,1690
1670882626.0,1,1763
1671213331.0,2,1130
1671291376.0,1,280
1671472887.0,2,29
1672171895.0,0,607
1672315235.0,0,2076
1672674180.0,3,1391
1671051932.0,2,340
1671014370.0,3,2147
1671172698.0,1,1886
1673718527.0,0,660
1673351678.0,0,897
1672091499.0,0,960
1673358601.0,2,476
1671121862.0,2,1174
1672315235.0,0,675
1676998019.0,1,217
1671122429.0,2,147
1673800213.0,0,825
1672820709.0,0,1756
1670881563.0,3,1771
1671360709.0,2,158
1672008250.0,3,906
1673611345.0,0,1474
1673956795.0,0,101
1670932827.0,3,360
1673457536.0,2,1466
1673985466.0,2,274
1672820670.0,0,115
1673994884.0,0,744
1671222207.0,2,1215
1674334597.0,2,159
1673718581.0,0,46
1672938938.0,2,1155
1672855144.0,3,1749
1673015227.0,2,1439
1672332499.0,2,826
1676120345.0,1,298
1673957007.0,0,693
1673611345.0,0,761
1673776085.0,2,419
1672840159.0,2,2113
1676120345.0,1,569
1671370359.0,3,123
1672844993.0,0,1984
1676294565.0,1,750
1672920254.0,0,956
1671291894.0,1,120
1672908455.0,2,1050
1671293594.0,2,2157
1673042299.0,0,1208
1672999209.0,2,2117
1674027471.0,0,1431
1671292434.0,2,1925
1672580912.0,0,912
1671294140.0,2,2050
1673814862.0,0,1247
1671144797.0,1,340
1672332786.0,2,352
1672054985.0,2,1047
1672999156.0,2,279
1673869308.0,0,101
1672762850.0,0,1223
1673869264.0,0,982
1677192849.0,1,47
1672254246.0,0,187
1671360709.0,2,1424
1672762897.0,2,990
1672763962.0,2,1982
1671391066.0,0,1153
1672938938.0,2,1071
1673985595.0,2,1598
1672332450.0,2,1844
1676723548.0,1,1648
1672938938.0,2,2082
1672840386.0,2,307
1672840201.0,2,1929
1674161573.0,0,487
1673124122.0,2,1524
1672332450.0,2,1011
1673984787.0,2,1765
1671135589.0,2,1951
1674042799.0,0,916
1673717233.0,2,1728
1671472826.0,2,1615
1673810958.0,2,622
1671294640.0,2,959
1672332450.0,2,957
1677051928.0,1,695
1670002286.0,1,905
1673870326.0,0,2086
1677712993.0,1,757
1677140815.0,1,247
1672072924.0,3,678
1672055108.0,2,896
